dataset,split,view,secondary,metric,value,ci_low,ci_high,entity_mean,rows,entities,coverage
berka,train,unambiguous,PRIJEM,amount,11891.092455883725,11528.042951024996,12266.818851100361,11344.899090479135,96393,3150,True
berka,train,unambiguous,PRIJEM,balance,41828.44032761715,41102.69925740514,42541.615685367615,39900.72578010529,96393,3150,True
berka,train,unambiguous,PRIJEM,balance_delta,11891.091734877013,11528.04230773449,12266.818113376812,11344.898094427146,96393,3150,True
berka,train,unambiguous,VYBER,amount,12565.316944024205,12391.64534240877,12737.71385996493,12278.986891425073,6610,778,True
berka,train,unambiguous,VYBER,balance,43370.51727685325,42372.28650193671,44400.39948606891,42521.923087201816,6610,778,True
berka,train,unambiguous,VYBER,balance_delta,-12565.316944024205,-12737.71385996493,-12391.64534240877,-12278.986891425073,6610,778,True
berka,train,unambiguous,VYDAJ,amount,5535.966770478543,5388.483529166099,5670.9708394132595,5886.40242160833,181739,3149,True
berka,train,unambiguous,VYDAJ,balance,36011.2651604774,35418.932072178286,36585.49797302378,34161.236553502014,181739,3149,True
berka,train,unambiguous,VYDAJ,balance_delta,-5535.9666719856505,-5670.970723936866,-5388.48345541825,-5886.4023289557,181739,3149,True
berka,validation,unambiguous,PRIJEM,amount,11599.60152071063,10783.260343434486,12374.280930123357,11439.20033178171,20714,675,True
berka,validation,unambiguous,PRIJEM,balance,42028.42944868206,40508.08810737895,43657.29827382438,39955.553597867765,20714,675,True
berka,validation,unambiguous,PRIJEM,balance_delta,11599.600806218017,10783.259634520417,12374.280149958697,11439.199439222555,20714,675,True
berka,validation,unambiguous,VYBER,amount,12289.763897190676,11993.639965676022,12595.571483568052,12575.184168865402,1673,175,True
berka,validation,unambiguous,VYBER,balance,44126.311356843995,42074.39352826909,46212.68548576529,42633.104602108586,1673,175,True
berka,validation,unambiguous,VYBER,balance_delta,-12289.763897190676,-12595.571483568052,-11993.639965676022,-12575.184168865402,1673,175,True
berka,validation,unambiguous,VYDAJ,amount,5811.663884034131,5477.295555391823,6171.063575758984,5958.5923453936875,38908,675,True
berka,validation,unambiguous,VYDAJ,balance,35544.09665364449,34344.72203022344,36746.690337218686,33780.366695233206,38908,675,True
berka,validation,unambiguous,VYDAJ,balance_delta,-5811.663634728076,-6171.063209159825,-5477.295330784015,-5958.592107036797,38908,675,True
