repeat,real_events,generated_events,real_customers,generated_customers,invalid_amount_rate,invalid_gap_rate,merchant_category_tv,category_amount_tv,gap_previous_category_category_tv,history_amount_tv,category_tv,merchant_tv,amount_tv,gap_tv,real_fraud_rate,generated_fraud_rate,real_frauds,generated_frauds,invalid_generated_label_rate,label_tv,history_amount_label_tv,class_0_category_amount_tv,class_0_gap_previous_category_category_tv,class_0_history_amount_tv,class_1_category_amount_tv,class_1_gap_previous_category_category_tv,class_1_history_amount_tv,class_0_merchant_tv,class_0_merchant_category_tv,class_0_gap_category_amount_history_tv,class_1_merchant_tv,class_1_merchant_category_tv,class_1_gap_category_amount_history_tv,fraud_onset_category_amount_tv,fraud_onset_history_amount_tv,fraud_continuation_category_amount_tv,fraud_continuation_history_amount_tv
0,174879,194353,143,143,0.0,0.0,0.043234244532090224,0.061647141118773154,0.06445220179031416,0.025346621110311697,0.025539425929689746,0.0429695585948458,0.03422118539227636,0.0175899193212969,0.0063758370073021915,0.005520882106270549,1115,1073,0.0,0.0008549549010316219,0.025951892784614246,0.061685967684878024,0.0645054260875875,0.025350000890440136,0.10360885941210185,0.3713256366167199,0.06800642757717187,0.04305354175283184,0.04333652504973252,0.09737883527698005,0.400613509752214,0.4016156871267433,0.2690626791124212,0.20816326530612245,0.24408163265306126,0.11055363607809425,0.07294060273429104
1,174879,177995,143,143,0.0,0.0,0.0409591350983847,0.04051721045666301,0.048074318422429485,0.011845748751206503,0.017617230829411065,0.040670706547032455,0.019099508851900347,0.006046585279036246,0.0063758370073021915,0.006427146829967134,1115,1144,0.0,5.130982266496678e-05,0.012535153123698042,0.040857405041088334,0.04818570985008125,0.012014818392170858,0.07621681415929205,0.3457403488521226,0.09120976016416571,0.040886101356281235,0.04116522224435428,0.07785030749742058,0.38439116936874784,0.3845275800432751,0.2464473515454662,0.16692307692307695,0.18,0.0878590899559656,0.08438759581556811
2,174879,169807,143,143,0.0,0.0,0.0441461400348028,0.03977356886614714,0.052713766163155706,0.008810113979887227,0.020967372477520722,0.04366763313453647,0.01788557114898652,0.006865117526782889,0.0063758370073021915,0.006377828946980984,1115,1083,0.0,1.991939678831073e-06,0.009753880229873205,0.0402844311096443,0.05304206420916514,0.008950517274033235,0.08917201794211078,0.34961723042523896,0.13018170477320135,0.04379337589481156,0.04431695314179859,0.07477955961521929,0.3775494909092415,0.37847285194340585,0.284738980462732,0.1402197802197802,0.15032967032967032,0.09716688800354138,0.13177741708064858
3,174879,211767,143,143,0.0,0.0,0.039980203526084876,0.052105902986413904,0.07035633786246132,0.055407791813339886,0.018929837780196995,0.0397343726128946,0.02949447285203424,0.03912839153476407,0.0063758370073021915,0.005142444290186857,1115,1089,0.0,0.001233392717115323,0.056411057977123695,0.05202893235248733,0.0707754294453575,0.055730305922310326,0.08009630495225048,0.36274445608521044,0.10412721118588064,0.03994498285030271,0.040191766116599456,0.1051778198884651,0.37668820286023713,0.3794001984788777,0.2519014183825603,0.22,0.22999999999999998,0.08413842078061605,0.10658082684583423
4,174879,178744,143,143,0.0,0.0,0.03835269179668427,0.026559583260471087,0.04430941222398565,0.008469949977346325,0.015300189220646554,0.0381015901146872,0.010599836462599654,0.005525026741314699,0.0063758370073021915,0.006495322919930179,1115,1161,0.0,0.00011948591262799565,0.008937816520041542,0.026790495141444128,0.04445212080722707,0.008497270338564228,0.08181841135181538,0.3563538352774832,0.07976695450184318,0.038102753788010826,0.03833443595574048,0.06049051940914715,0.37746955423459755,0.3801601371942388,0.23810470635762257,0.17155339805825243,0.16038834951456316,0.08985874683085839,0.07719266474770774
5,174879,194434,143,143,0.0,0.0,0.037155354338792204,0.0348380486904921,0.04534671118140482,0.024934111368534594,0.01432895844028899,0.037004559469652615,0.015726118999140327,0.014251061557657327,0.0063758370073021915,0.00582202701173663,1115,1132,0.0,0.0005538099955655481,0.02531243710773658,0.03500044519305078,0.0452096438710524,0.024748208419972748,0.09000138732948754,0.3500264560506924,0.10473773019990448,0.037134981770354,0.03728449978686084,0.06542143270592285,0.38466542014609645,0.38475970146888716,0.2561147353749661,0.12560747663551403,0.23485981308411216,0.09360589139504971,0.1019779151112087
6,174879,192278,143,143,0.0,0.0,0.043733197431100934,0.06050431034772539,0.06542265267597355,0.026733271843752196,0.023311419181451326,0.043480216322887545,0.03760126939779607,0.02127629430475888,0.0063758370073021915,0.005575260820270649,1115,1072,0.0,0.0008005761870315481,0.02719368454367349,0.06078091002630172,0.06577681228561218,0.026856724197671718,0.09647804272840063,0.3488861166782554,0.11120257133897772,0.04373366303583405,0.04397668841421809,0.10221761177149194,0.38186031724784153,0.3818603172478415,0.25025392994941853,0.11646464646464648,0.1672727272727273,0.09789886098758491,0.10575953447620305
7,174879,185365,143,143,0.0,0.0,0.041970034189591776,0.04288784659109437,0.04855688856027311,0.012999984703597603,0.018373422985098795,0.041666111820984585,0.019079863663900007,0.009426927861087887,0.0063758370073021915,0.005513446443503358,1115,1022,0.0,0.0008623905637988047,0.013892321949550951,0.04309329544854194,0.04874560714421414,0.012955827953180324,0.06029329548875414,0.35218036382402274,0.12057046402614718,0.042013888154254324,0.042285740297986665,0.07560136811293716,0.40413942590366203,0.40723807183663435,0.2493334193437406,0.22894736842105268,0.17368421052631577,0.0797073713878112,0.12338854190225997
8,174879,192453,143,143,0.0,0.0,0.045531839341205665,0.057501494035689014,0.06364264706563655,0.02224785939547074,0.025983291060750438,0.04529318406965722,0.02232367048102925,0.01689346464405014,0.0063758370073021915,0.005502642203550997,1115,1059,0.0,0.0008731948037511688,0.023004091952321684,0.05763869410248135,0.0638161784046253,0.022376599426767348,0.06687557743487915,0.34432269474206756,0.08414432769343205,0.045335659752061386,0.045575874835590245,0.09187001901470906,0.38658265475933384,0.38856608103930856,0.2343170410513107,0.16166666666666665,0.19958333333333333,0.06882313677228259,0.08275797334223313
9,174879,188266,143,143,0.0,0.0,0.037784265988611676,0.03467600707481972,0.04772212876918787,0.019171953198737053,0.013390387719590195,0.03752631229594587,0.01541179147669279,0.013966287171635576,0.0063758370073021915,0.005274452105000372,1115,993,0.0,0.0011013849023018235,0.020282984353633723,0.03456711772953746,0.047786209037262585,0.019488909675984444,0.07431590664484647,0.3647957303138868,0.08641930941955271,0.037556018405468294,0.03779812414958383,0.07912693403402354,0.4129218430357796,0.41537669516209885,0.241634046913471,0.1991208791208792,0.19835164835164837,0.07778750468976113,0.08244153431118575
