field,label,seed,events,original_mean,decoded_mean,original_p99,decoded_p99,exact_fraction,max_absolute_error
gap,all,20261300,177850,35181.056868147316,35180.599623278045,259750.78000000166,259750.78000000166,0.9999943772842282,81321.0
gap,0,20261300,176716,35271.370272074964,35270.91009303062,260288.3000000001,260288.3000000001,0.9999943412028339,81321.0
gap,1,20261300,1134,21107.13844797178,21107.13844797178,152635.0900000002,152635.0900000002,1.0,0.0
gap,all,20261301,177850,35181.056868147316,35180.599623278045,259750.78000000166,259750.78000000166,0.9999943772842282,81321.0
gap,0,20261301,176716,35271.370272074964,35270.91009303062,260288.3000000001,260288.3000000001,0.9999943412028339,81321.0
gap,1,20261301,1134,21107.13844797178,21107.13844797178,152635.0900000002,152635.0900000002,1.0,0.0
gap,all,20261302,177850,35181.056868147316,35180.599623278045,259750.78000000166,259750.78000000166,0.9999943772842282,81321.0
gap,0,20261302,176716,35271.370272074964,35270.91009303062,260288.3000000001,260288.3000000001,0.9999943412028339,81321.0
gap,1,20261302,1134,21107.13844797178,21107.13844797178,152635.0900000002,152635.0900000002,1.0,0.0
gap,all,20261303,177850,35181.056868147316,35180.599623278045,259750.78000000166,259750.78000000166,0.9999943772842282,81321.0
gap,0,20261303,176716,35271.370272074964,35270.91009303062,260288.3000000001,260288.3000000001,0.9999943412028339,81321.0
gap,1,20261303,1134,21107.13844797178,21107.13844797178,152635.0900000002,152635.0900000002,1.0,0.0
gap,all,20261304,177850,35181.056868147316,35180.599623278045,259750.78000000166,259750.78000000166,0.9999943772842282,81321.0
gap,0,20261304,176716,35271.370272074964,35270.91009303062,260288.3000000001,260288.3000000001,0.9999943412028339,81321.0
gap,1,20261304,1134,21107.13844797178,21107.13844797178,152635.0900000002,152635.0900000002,1.0,0.0
gap,all,20261305,177850,35181.056868147316,35180.599623278045,259750.78000000166,259750.78000000166,0.9999943772842282,81321.0
gap,0,20261305,176716,35271.370272074964,35270.91009303062,260288.3000000001,260288.3000000001,0.9999943412028339,81321.0
gap,1,20261305,1134,21107.13844797178,21107.13844797178,152635.0900000002,152635.0900000002,1.0,0.0
gap,all,20261306,177850,35181.056868147316,35180.599623278045,259750.78000000166,259750.78000000166,0.9999943772842282,81321.0
gap,0,20261306,176716,35271.370272074964,35270.91009303062,260288.3000000001,260288.3000000001,0.9999943412028339,81321.0
gap,1,20261306,1134,21107.13844797178,21107.13844797178,152635.0900000002,152635.0900000002,1.0,0.0
gap,all,20261307,177850,35181.056868147316,35180.599623278045,259750.78000000166,259750.78000000166,0.9999943772842282,81321.0
gap,0,20261307,176716,35271.370272074964,35270.91009303062,260288.3000000001,260288.3000000001,0.9999943412028339,81321.0
gap,1,20261307,1134,21107.13844797178,21107.13844797178,152635.0900000002,152635.0900000002,1.0,0.0
gap,all,20261308,177850,35181.056868147316,35180.599623278045,259750.78000000166,259750.78000000166,0.9999943772842282,81321.0
gap,0,20261308,176716,35271.370272074964,35270.91009303062,260288.3000000001,260288.3000000001,0.9999943412028339,81321.0
gap,1,20261308,1134,21107.13844797178,21107.13844797178,152635.0900000002,152635.0900000002,1.0,0.0
gap,all,20261309,177850,35181.056868147316,35180.599623278045,259750.78000000166,259750.78000000166,0.9999943772842282,81321.0
gap,0,20261309,176716,35271.370272074964,35270.91009303062,260288.3000000001,260288.3000000001,0.9999943412028339,81321.0
gap,1,20261309,1134,21107.13844797178,21107.13844797178,152635.0900000002,152635.0900000002,1.0,0.0
amount_or_numeric_value,all,20261300,177997,73.35831530868498,73.35831530868498,577.1416000000003,577.1416000000003,1.0,0.0
amount_or_numeric_value,0,20261300,176851,70.45379302350565,70.45379302350565,501.54,501.54,1.0,0.0
amount_or_numeric_value,1,20261300,1146,521.5849040139616,521.5849040139616,1172.2469999999996,1172.2469999999996,1.0,0.0
amount_or_numeric_value,all,20261301,177997,73.35831530868498,73.35831530868498,577.1416000000003,577.1416000000003,1.0,0.0
amount_or_numeric_value,0,20261301,176851,70.45379302350565,70.45379302350565,501.54,501.54,1.0,0.0
amount_or_numeric_value,1,20261301,1146,521.5849040139616,521.5849040139616,1172.2469999999996,1172.2469999999996,1.0,0.0
amount_or_numeric_value,all,20261302,177997,73.35831530868498,73.35831530868498,577.1416000000003,577.1416000000003,1.0,0.0
amount_or_numeric_value,0,20261302,176851,70.45379302350565,70.45379302350565,501.54,501.54,1.0,0.0
amount_or_numeric_value,1,20261302,1146,521.5849040139616,521.5849040139616,1172.2469999999996,1172.2469999999996,1.0,0.0
amount_or_numeric_value,all,20261303,177997,73.35831530868498,73.35831530868498,577.1416000000003,577.1416000000003,1.0,0.0
amount_or_numeric_value,0,20261303,176851,70.45379302350565,70.45379302350565,501.54,501.54,1.0,0.0
amount_or_numeric_value,1,20261303,1146,521.5849040139616,521.5849040139616,1172.2469999999996,1172.2469999999996,1.0,0.0
amount_or_numeric_value,all,20261304,177997,73.35831530868498,73.35831530868498,577.1416000000003,577.1416000000003,1.0,0.0
