family,kappa,index,variant,tape,group,bin,observed_repeat,generated_repeat
argn_original,0,20260920,raw,20261001,pooled,0,0.310053451973242,0.061337892712117974
argn_original,0,20260920,raw,20261001,pooled,1,0.3114509155645982,0.05983927019982624
argn_original,0,20260920,raw,20261001,pooled,2,0.3109352336507536,0.062271456227145625
argn_original,0,20260920,raw,20261001,pooled,3,0.3132337927514038,0.06301859048419284
argn_original,0,20260920,raw,20261001,pooled,4,0.31417782572824776,0.06472014335406345
argn_original,0,20260920,raw,20261001,0,0,0.3104568241191838,0.06183976261127597
argn_original,0,20260920,raw,20261001,0,1,0.3129886595759668,0.05830903790087463
argn_original,0,20260920,raw,20261001,0,2,0.3101617354245991,0.06049263462931659
argn_original,0,20260920,raw,20261001,0,3,0.3123306948109059,0.062088428974600186
argn_original,0,20260920,raw,20261001,0,4,0.31486420099656115,0.06515879526544005
argn_original,0,20260920,raw,20261001,1,0,0.30737564322469985,0.057569296375266525
argn_original,0,20260920,raw,20261001,1,1,0.2966818477553676,0.07120743034055728
argn_original,0,20260920,raw,20261001,1,2,0.31898238747553814,0.07669616519174041
argn_original,0,20260920,raw,20261001,1,3,0.3202592087312415,0.07240704500978473
argn_original,0,20260920,raw,20261001,1,4,0.30789648307896483,0.06
argn_original,0,20260920,raw,20261002,pooled,0,0.310053451973242,0.05970149253731343
argn_original,0,20260920,raw,20261002,pooled,1,0.3114509155645982,0.055804046858359956
argn_original,0,20260920,raw,20261002,pooled,2,0.3109352336507536,0.05876757213825177
argn_original,0,20260920,raw,20261002,pooled,3,0.3132337927514038,0.05575173889780631
argn_original,0,20260920,raw,20261002,pooled,4,0.31417782572824776,0.05784763152150185
argn_original,0,20260920,raw,20261002,0,0,0.3104568241191838,0.059776864357017026
argn_original,0,20260920,raw,20261002,0,1,0.3129886595759668,0.05515273980744086
argn_original,0,20260920,raw,20261002,0,2,0.3101617354245991,0.05894117647058823
argn_original,0,20260920,raw,20261002,0,3,0.3123306948109059,0.05497788932711844
argn_original,0,20260920,raw,20261002,0,4,0.31486420099656115,0.05842806502872509
argn_original,0,20260920,raw,20261002,1,0,0.30737564322469985,0.05823293172690763
argn_original,0,20260920,raw,20261002,1,1,0.2966818477553676,0.06224489795918367
argn_original,0,20260920,raw,20261002,1,2,0.31898238747553814,0.05705394190871369
argn_original,0,20260920,raw,20261002,1,3,0.3202592087312415,0.06320081549439348
argn_original,0,20260920,raw,20261002,1,4,0.30789648307896483,0.052307692307692305
argn_original,0,20260920,raw,20261003,pooled,0,0.310053451973242,0.061158574703063136
argn_original,0,20260920,raw,20261003,pooled,1,0.3114509155645982,0.058504414423997446
argn_original,0,20260920,raw,20261003,pooled,2,0.3109352336507536,0.05968720076603894
argn_original,0,20260920,raw,20261003,pooled,3,0.3132337927514038,0.05635478637101136
argn_original,0,20260920,raw,20261003,pooled,4,0.31417782572824776,0.056452486726622605
argn_original,0,20260920,raw,20261003,0,0,0.3104568241191838,0.06086448598130841
argn_original,0,20260920,raw,20261003,0,1,0.3129886595759668,0.05801399928817179
argn_original,0,20260920,raw,20261003,0,2,0.3101617354245991,0.06147980459907065
argn_original,0,20260920,raw,20261003,0,3,0.3123306948109059,0.05762996758314323
argn_original,0,20260920,raw,20261003,0,4,0.31486420099656115,0.058318209316394434
argn_original,0,20260920,raw,20261003,1,0,0.30737564322469985,0.06358381502890173
argn_original,0,20260920,raw,20261003,1,1,0.2966818477553676,0.06198347107438017
argn_original,0,20260920,raw,20261003,1,2,0.31898238747553814,0.045454545454545456
argn_original,0,20260920,raw,20261003,1,3,0.3202592087312415,0.0457516339869281
argn_original,0,20260920,raw,20261003,1,4,0.30789648307896483,0.03958333333333333
argn_original,0,20260920,level,20261001,pooled,0,0.310053451973242,0.4005291005291005
argn_original,0,20260920,level,20261001,pooled,1,0.3114509155645982,0.40527374774965585
argn_original,0,20260920,level,20261001,pooled,2,0.3109352336507536,0.4027047332832457
argn_original,0,20260920,level,20261001,pooled,3,0.3132337927514038,0.4074034677162004
argn_original,0,20260920,level,20261001,pooled,4,0.31417782572824776,0.3995248893208077
argn_original,0,20260920,level,20261001,0,0,0.3104568241191838,0.39799291617473437
argn_original,0,20260920,level,20261001,0,1,0.3129886595759668,0.40535101219367825
argn_original,0,20260920,level,20261001,0,2,0.3101617354245991,0.40317006316291265
argn_original,0,20260920,level,20261001,0,3,0.3123306948109059,0.40913984926426605
argn_original,0,20260920,level,20261001,0,4,0.31486420099656115,0.3971597063425202
argn_original,0,20260920,level,20261001,1,0,0.30737564322469985,0.42057026476578413
argn_original,0,20260920,level,20261001,1,1,0.2966818477553676,0.4075924075924076
argn_original,0,20260920,level,20261001,1,2,0.31898238747553814,0.3969631236442516
argn_original,0,20260920,level,20261001,1,3,0.3202592087312415,0.39615384615384613
argn_original,0,20260920,level,20261001,1,4,0.30789648307896483,0.4174553101997897
argn_original,0,20260920,level,20261002,pooled,0,0.310053451973242,0.39559629161399074
argn_original,0,20260920,level,20261002,pooled,1,0.3114509155645982,0.4072840567253975
argn_original,0,20260920,level,20261002,pooled,2,0.3109352336507536,0.4017981376431553
argn_original,0,20260920,level,20261002,pooled,3,0.3132337927514038,0.40249626626840196
argn_original,0,20260920,level,20261002,pooled,4,0.31417782572824776,0.39754142169962586
argn_original,0,20260920,level,20261002,0,0,0.3104568241191838,0.3966467346699496
argn_original,0,20260920,level,20261002,0,1,0.3129886595759668,0.41025026942881093
argn_original,0,20260920,level,20261002,0,2,0.3101617354245991,0.40026325236328825
argn_original,0,20260920,level,20261002,0,3,0.3123306948109059,0.4019070321811681
argn_original,0,20260920,level,20261002,0,4,0.31486420099656115,0.3936998442927297
argn_original,0,20260920,level,20261002,1,0,0.30737564322469985,0.38357588357588357
argn_original,0,20260920,level,20261002,1,1,0.2966818477553676,0.38308977035490605
argn_original,0,20260920,level,20261002,1,2,0.31898238747553814,0.4178498985801217
argn_original,0,20260920,level,20261002,1,3,0.3202592087312415,0.40725806451612906
argn_original,0,20260920,level,20261002,1,4,0.30789648307896483,0.4278557114228457
argn_original,0,20260920,level,20261003,pooled,0,0.310053451973242,0.41074081935894713
argn_original,0,20260920,level,20261003,pooled,1,0.3114509155645982,0.4067938771230866
argn_original,0,20260920,level,20261003,pooled,2,0.3109352336507536,0.4062199422891953
argn_original,0,20260920,level,20261003,pooled,3,0.3132337927514038,0.40595238095238095
argn_original,0,20260920,level,20261003,pooled,4,0.31417782572824776,0.4011808910359635
argn_original,0,20260920,level,20261003,0,0,0.3104568241191838,0.41226717285561754
argn_original,0,20260920,level,20261003,0,1,0.3129886595759668,0.40712705252125303
argn_original,0,20260920,level,20261003,0,2,0.3101617354245991,0.4079465457582627
argn_original,0,20260920,level,20261003,0,3,0.3123306948109059,0.40643522438611346
argn_original,0,20260920,level,20261003,0,4,0.31486420099656115,0.4025505293551492
argn_original,0,20260920,level,20261003,1,0,0.30737564322469985,0.3971774193548387
argn_original,0,20260920,level,20261003,1,1,0.2966818477553676,0.40398740818467993
argn_original,0,20260920,level,20261003,1,2,0.31898238747553814,0.3903192584963955
argn_original,0,20260920,level,20261003,1,3,0.3202592087312415,0.40325865580448067
argn_original,0,20260920,level,20261003,1,4,0.30789648307896483,0.3897795591182365
argn_original,0,20260920,gap,20261001,pooled,0,0.310053451973242,0.4010791366906475
argn_original,0,20260920,gap,20261001,pooled,1,0.3114509155645982,0.40438373570520963
argn_original,0,20260920,gap,20261001,pooled,2,0.3109352336507536,0.403972088030059
argn_original,0,20260920,gap,20261001,pooled,3,0.3132337927514038,0.41136412002553735
