epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.12,0,1,64,0.5802,0.3,0.00141,
1.0,1,8,512,0.5336,0.9,0.00141,1.2308
2.0,1,16,998,0.5481,1.6,0.00141,1.2068
3.0,1,24,1484,0.5379,2.3,0.00141,1.1888
4.0,1,32,1970,0.5284,2.9,0.00141,1.1769
5.0,1,40,2456,0.5213,3.6,0.00141,1.158
6.0,0,48,2942,0.5231,4.1,0.00141,1.1614
7.0,0,56,3428,0.52,4.7,0.00141,1.1657
8.0,0,64,3914,0.5168,5.3,0.00141,1.1636
9.0,1,72,4400,0.5094,5.9,0.000705,1.1532
10.0,1,80,4912,0.4836,6.6,0.000705,1.1251
11.0,0,88,5398,0.507,7.2,0.000705,1.1538
12.0,0,96,5884,0.5058,7.7,0.000705,1.1436
13.0,0,104,6370,0.4997,8.3,0.000705,1.1451
14.0,0,112,6856,0.5025,8.9,0.000353,1.1477
15.0,0,120,7342,0.5028,9.4,0.000353,1.1256
