prevalence,kappa,trial,repeat,source,group,bin,count,reference_repeat,reference_weight,empirical_repeat,Ucal_repeat,Ecal_repeat,matched_mark_TV,signed_repeat_difference
0.05,0,0,0,Ecal,context_0,0,8506,0.3106427322845233,0.19883564711150917,0.31754055960498473,0.31964527724834996,0.32000838291507006,0.024032096716364228,0.0003631056667201076
0.05,0,0,0,Ecal,context_0,1,8734,0.31236848258124855,0.20011229120853413,0.3185253034119533,0.3147538504506757,0.31535880813575157,0.023682502827276856,0.0006049576850758556
0.05,0,0,0,Ecal,context_0,2,10096,0.311251454213063,0.2010881552826998,0.32072107765451663,0.31995701357772466,0.3200022873664998,0.023760222823582495,4.527378877515649e-05
0.05,0,0,0,Ecal,context_0,3,8758,0.3139897415267022,0.1993770511526559,0.314455355103905,0.31655055585228625,0.31770205322749184,0.024028805208319175,0.0011514973752055982
0.05,0,0,0,Ecal,context_0,4,8695,0.3145618127290903,0.200586855244601,0.3194939620471535,0.31354058867062284,0.3146234666936147,0.023992298376990687,0.0010828780229918363
0.05,0,0,0,Ecal,context_1,0,404,0.29792919171676685,0.1954308093994778,0.297029702970297,0.32775939396112275,0.3290971739420501,0.022788321360194187,0.0013377799809274108
0.05,0,0,0,Ecal,context_1,1,417,0.2943495400788436,0.19869451697127938,0.354916067146283,0.3150056670431039,0.3155324860907001,0.0224396359232395,0.0005268190475962431
0.05,0,0,0,Ecal,context_1,2,486,0.30716934487021014,0.21122715404699738,0.32098765432098764,0.32536818436634396,0.32266224051515263,0.022273060629516072,-0.0027059438511913207
0.05,0,0,0,Ecal,context_1,3,396,0.29722589167767505,0.19765013054830288,0.29292929292929293,0.30003129384207605,0.3007416166553293,0.02205034758986181,0.0007103228132532101
0.05,0,0,0,Ecal,context_1,4,388,0.30483764082173626,0.19699738903394257,0.3118556701030928,0.30188396786214766,0.30347878338058587,0.023356735337280773,0.0015948155184382015
0.05,0,0,0,Ecal,pooled,0,8910,0.310053451973242,0.1986570950779228,0.31661054994388327,0.32001319006001777,0.32042048971359977,0.023975701066095687,0.0004072996535820324
0.05,0,0,0,Ecal,pooled,1,9151,0.3114509155645982,0.20001144521240408,0.32018358649327944,0.31476532542816915,0.3153667224300597,0.023625866885960762,0.0006013970018905208
0.05,0,0,0,Ecal,pooled,2,10582,0.3109352336507536,0.20165192565698697,0.3207333207333207,0.32020553266705265,0.3201244511569218,0.02369192185719464,-8.10815101308828e-05
0.05,0,0,0,Ecal,pooled,3,9154,0.3132337927514038,0.19929929866281768,0.3135241424513874,0.3158359362590982,0.31696834852107103,0.02394321757265071,0.0011324122619727878
0.05,0,0,0,Ecal,pooled,4,9083,0.31417782572824776,0.20038023538986843,0.31916767587801387,0.3130426508886468,0.3141473974295549,0.023965148926433883,0.0011047465409080744
0.05,0,0,1,Ecal,context_0,0,8516,0.3106427322845233,0.19883564711150917,0.31881164866134337,0.32083092314160977,0.32111752695701895,0.024135052533420555,0.0002866038154091506
0.05,0,0,1,Ecal,context_0,1,8615,0.31236848258124855,0.20011229120853413,0.3180499129425421,0.31672406257132907,0.3174310595099828,0.02393220879562638,0.0007069969386536924
0.05,0,0,1,Ecal,context_0,2,10109,0.311251454213063,0.2010881552826998,0.32169354040953607,0.3182326530841824,0.31835618316213316,0.024070391506523698,0.00012353007795077448
0.05,0,0,1,Ecal,context_0,3,8758,0.3139897415267022,0.1993770511526559,0.31868006394153914,0.3162368214262773,0.31781796292644515,0.02404454934608436,0.0015811415001678532
0.05,0,0,1,Ecal,context_0,4,8791,0.3145618127290903,0.200586855244601,0.30690478898873846,0.3110226727560198,0.31273658167748386,0.023853845913591378,0.0017139089214640419
0.05,0,0,1,Ecal,context_1,0,392,0.29792919171676685,0.1954308093994778,0.3852040816326531,0.33419376324710187,0.33602152160387866,0.024537978499916343,0.0018277583567767727
0.05,0,0,1,Ecal,context_1,1,393,0.2943495400788436,0.19869451697127938,0.30025445292620867,0.3094009524993314,0.31057483774939265,0.021669960951932608,0.0011738852500612195
0.05,0,0,1,Ecal,context_1,2,474,0.30716934487021014,0.21122715404699738,0.270042194092827,0.2902026871997344,0.2917721829522511,0.022268403254946466,0.001569495752516678
0.05,0,0,1,Ecal,context_1,3,423,0.29722589167767505,0.19765013054830288,0.2765957446808511,0.2820603187871881,0.28484881734453477,0.022472575212218942,0.0027884985573466505
0.05,0,0,1,Ecal,context_1,4,409,0.30483764082173626,0.19699738903394257,0.29584352078239606,0.314123761755913,0.3139165985263647,0.0224590869056867,-0.00020716322954826075
0.05,0,0,1,Ecal,pooled,0,8908,0.310053451973242,0.1986570950779228,0.3217332734620566,0.32141896011077825,0.3217733830303877,0.024152783447078656,0.00035442291960943213
0.05,0,0,1,Ecal,pooled,1,9008,0.3114509155645982,0.20001144521240408,0.3172735346358792,0.31640457075757517,0.31713193704640463,0.02383351170386665,0.0007273662888294427
0.05,0,0,1,Ecal,pooled,2,10583,0.3109352336507536,0.20165192565698697,0.319380137957101,0.3169772242049205,0.3171655173679837,0.023989682593054208,0.000188293163063147
0.05,0,0,1,Ecal,pooled,3,9181,0.3132337927514038,0.19929929866281768,0.3167410957412047,0.3146621933229841,0.31629896188286083,0.023972123133403272,0.0016367685598766683
