prevalence,kappa,trial,model,repeat,generation_seed,group,generated_entities,validation_entities,amount_ks,amount_lag1_acf_error,amount_scaled_w1,gap_conditioned_mark_tv,gap_ks,gap_lag1_acf_error,gap_repeat_mi_error,gap_scaled_w1,gap_zero_rate_error,length_scaled_w1,mark_sparse_tv,short_gap_repeat_curve_l1,transition_conditioned_mark_tv
0.05,0,0,U,0,2026092100,context_0,1958,6515,0.028892689197074606,0.003426750472633703,0.05897544447906547,0.016622811725814417,0.020970024497113327,0.02220104862320181,6.751241040340184e-07,0.05154215884379083,0.0,0.012005443162906044,0.010979893141346543,0.008567583075509264,0.04549012877314393
0.05,0,0,U,0,2026092100,context_1,90,331,0.02179205388730823,0.028366141648811113,0.0478841770284838,0.08204922207240284,0.03196760204432025,0.02230371775791272,0.0008269804615680734,0.051868194078096494,0.0,0.08430261832829809,0.0510779808394026,0.023328997680827804,0.17210101417306475
0.05,0,0,U,0,2026092100,pooled,2048,6846,0.028042229065369573,0.0020876200507826646,0.05835665827393377,0.014659020300663883,0.020824956489638335,0.02221966827090953,1.3237438398812514e-06,0.05147570587317671,0.0,0.011237280152187418,0.00795089418373554,0.009198827662353205,0.045969604406926115
0.05,0,0,U,1,2026092101,context_0,1958,6515,0.03297745334220886,0.003989782801890101,0.06191043155908552,0.0193526486430527,0.01978669823396835,0.02626412659380184,7.305757014946758e-05,0.05143941215001663,0.0,0.012005443162906044,0.015548442677484214,0.010121110952641954,0.0495354355411736
0.05,0,0,U,1,2026092101,context_1,90,331,0.03598965158591127,0.016828237400301885,0.07429910965603646,0.08757894683153684,0.04033249547669797,0.02148804293944158,0.0023315798974958735,0.05856505535583048,0.0,0.08430261832829809,0.04222987908623248,0.025108965828881554,0.17564385812640207
0.05,0,0,U,1,2026092101,pooled,2048,6846,0.03163222763224882,0.0032964591791577996,0.06137517971811249,0.01862042198124052,0.019566424066430152,0.026059873314149315,6.898434707411903e-05,0.051424596034015356,0.0,0.011237280152187418,0.012689275415954226,0.0097667102345427,0.04886389666425858
0.05,0,0,U,2,2026092102,context_0,1958,6515,0.033016520964666674,0.004943651489997796,0.06314840716725979,0.015163839848432635,0.019939399045055595,0.02540092668144553,1.6883578476319317e-05,0.05134845959627153,0.0,0.012005443162906044,0.0092754177366558,0.006921048472377118,0.046175659502163194
0.05,0,0,U,2,2026092102,context_1,90,331,0.044896335979994914,0.0175911727902272,0.06935730576446343,0.07791365450803754,0.03292408219735707,0.08984799143555783,0.0010920766639293433,0.052632680188084556,0.0,0.08430261832829809,0.049013014469338534,0.019668713939157312,0.1810583878037545
0.05,0,0,U,2,2026092102,pooled,2048,6846,0.03168949024458706,0.003692284857591356,0.06316892946506887,0.015899483027431813,0.020178363972858493,0.02821059271361402,1.0852889991240478e-05,0.05129359828837387,0.0,0.011237280152187418,0.010319215799534095,0.006974166628884597,0.04424173768665713
0.05,0,0,U,3,2026092103,context_0,1958,6515,0.030557450401195063,0.0026091350235998407,0.0597965115575497,0.0229539723374907,0.02476185817929566,0.03266706232704253,4.724513708041794e-05,0.052269391160573435,0.0,0.012005443162906044,0.017576315243992363,0.006905849453093191,0.04798798205115739
0.05,0,0,U,3,2026092103,context_1,90,331,0.028268849681935278,0.027934476898707955,0.05887557940268978,0.06826983018980319,0.04375559559619556,0.03992271525601282,0.0009130858277623171,0.06101159622482502,0.0,0.08430261832829809,0.04556042558423851,0.019983920965527834,0.1649374216156156
0.05,0,0,U,3,2026092103,pooled,2048,6846,0.029481015868526472,0.001223401839477,0.05967192229352462,0.020224933021469684,0.02426845501980529,0.033031062664244146,4.203887759164225e-05,0.051917075145534404,0.0,0.011237280152187418,0.01573995879082469,0.006797274054907841,0.04542943341995101
0.05,0,0,U,4,2026092104,context_0,1958,6515,0.03196557188666266,0.001795821708714298,0.06071037261656442,0.022928027120217187,0.021411014969798914,0.036227077395198065,3.268064324218512e-05,0.051636499452444126,0.0,0.012005443162906044,0.0179800651163268,0.00835348738698574,0.04877246861407736
0.05,0,0,U,4,2026092104,context_1,90,331,0.042739048876111255,0.014937420268824103,0.06609709305987621,0.0791989739067363,0.03507304087017218,0.001047114588344361,0.00045670296956089275,0.05658402888693188,0.0,0.08430261832829809,0.05886224248955915,0.018785959874689895,0.17055351157841578
0.05,0,0,U,4,2026092104,pooled,2048,6846,0.03220370629663688,0.0010469437531316914,0.06095061284059908,0.019259021709405896,0.02202121555881359,0.03464713167965848,3.4341981672323266e-05,0.05148267335837485,0.0,0.011237280152187418,0.014903250347292275,0.008484465060613074,0.04567891361199978
0.05,0,0,Ucal,0,2026092100,context_0,1958,6515,0.02891408094413861,0.003483206680516601,0.05898832538566311,0.01677192713780232,0.020970024497113327,0.022176126592914014,5.396522815471648e-06,0.05155249096316052,0.0,0.012005443162906044,0.01137754964181831,0.0037725858878624283,0.045098354643112126
0.05,0,0,Ucal,0,2026092100,context_1,90,331,0.02171310215969123,0.028802535973625837,0.04786421746098977,0.07963126199383196,0.03292408219735707,0.018878800743434884,0.0006652968705220939,0.05229958740908163,0.0,0.08430261832829809,0.04952287279172564,0.014190714344956216,0.17500479120667364
0.05,0,0,Ucal,0,2026092100,pooled,2048,6846,0.028042229065369573,0.0021225794538937102,0.05837247538711214,0.014763590865443876,0.020824956489638335,0.02205517798972577,7.085235428949763e-06,0.05149440978264866,0.0,0.011237280152187418,0.00795420617331206,0.003977718013023085,0.045784114943622084
0.05,0,0,Ucal,1,2026092101,context_0,1958,6515,0.03291327810101691,0.004045052145301031,0.06193749552324519,0.01858560903344139,0.01963040985959072,0.026705243461539713,8.38188968196513e-05,0.051441984401857786,0.0,0.012005443162906044,0.01484251502437282,0.00709317012386668,0.04982231156744514
0.05,0,0,Ucal,1,2026092101,context_1,90,331,0.03644815685872191,0.016478147784894134,0.0743281561756349,0.08656567959873307,0.041767215706253205,0.01812822082730177,0.002519789311914391,0.06060048170747504,0.0,0.08430261832829809,0.04124114640433122,0.028535052463899847,0.1766341835557513
0.05,0,0,Ucal,1,2026092101,pooled,2048,6846,0.03157091304755294,0.003363957726724171,0.06140031959947838,0.018290236014017948,0.019452088586334626,0.02633543258417441,7.619952427551113e-05,0.05144640708392152,0.0,0.011237280152187418,0.01217832054348853,0.006485921681342075,0.04904881577529845
0.05,0,0,Ucal,2,2026092102,context_0,1958,6515,0.033059304458794625,0.004909611151473186,0.06316879537005776,0.015585227559266484,0.02011801433005861,0.025771658090631644,1.172413403328714e-05,0.051362791281832694,0.0,0.012005443162906044,0.009177030991137838,0.0030308597067497324,0.04683821483671962
0.05,0,0,Ucal,2,2026092102,context_1,90,331,0.04443783070718428,0.017694192621083744,0.06928807593803261,0.0774005170227813,0.03388056235039389,0.08975866201846786,0.0007334716520351024,0.052588450343582054,0.0,0.08430261832829809,0.05184609623010668,0.016494810661228546,0.18228195513661835
0.05,0,0,Ucal,2,2026092102,pooled,2048,6846,0.03177124302418155,0.0036568815685535947,0.06318314173444925,0.016075762947021035,0.020327681379001816,0.028562822885477193,4.5700286062479775e-06,0.051305677344317055,0.0,0.011237280152187418,0.01017614843524373,0.0029328582778328487,0.04518678610092559
0.05,0,0,Ucal,3,2026092103,context_0,1958,6515,0.03057884214825901,0.002643885952403695,0.05974998904223289,0.022962189637787424,0.02471720435804492,0.032931745756863307,6.464687804903015e-05,0.052277255160777567,0.0,0.012005443162906044,0.017283308349590677,0.006552094944555335,0.048192227941075194
