prevalence,kappa,trial,repeat,model,group,amount_ks,amount_lag1_acf_error,amount_scaled_w1,gap_conditioned_mark_tv,gap_ks,gap_lag1_acf_error,gap_repeat_mi_error,gap_scaled_w1,gap_zero_rate_error,length_scaled_w1,mark_sparse_tv,short_gap_repeat_curve_l1,transition_conditioned_mark_tv
0.05,0,0,0,Ugap,context_0,0.028917813257718805,0.00347651327272222,0.05899018980189485,0.01665300514124949,0.021059332139614834,0.022246391405347024,1.013008544833077e-05,0.05155054531008467,0.0,0.012005443162906044,0.011254235727528929,0.0038392775935035582,0.04518118463918226
0.05,0,0,0,Ugap,context_1,0.021765488008030125,0.028565686741837577,0.047966953156691576,0.08106567734845421,0.032445842120838654,0.021627544031489407,0.0007052154805755138,0.051981019997479186,0.0,0.08430261832829809,0.051356893882968185,0.015327277014464624,0.17562540074710545
0.05,0,0,0,Ugap,pooled,0.02806089115215238,0.0021261015602441775,0.05837753867559123,0.014619393366095385,0.020910280721720256,0.022234729256393665,1.3082980200284635e-05,0.05148687647007527,0.0,0.011237280152187418,0.007831577003920303,0.004198318184089761,0.045809163498379026
0.05,0,0,1,Ugap,context_0,0.032956061595144914,0.004034025413722306,0.06192878302582314,0.018602698714051003,0.01965273677021609,0.026790262174222867,8.336678670432411e-05,0.051444865488648156,0.0,0.012005443162906044,0.014949473759692685,0.007181505669960916,0.04970923296086007
0.05,0,0,1,Ugap,context_1,0.03598965158591127,0.01659081682746564,0.07431676666433573,0.0859269884080505,0.0412889756297348,0.016740058278873315,0.002574672979682727,0.059885658407381345,0.0,0.08430261832829809,0.043021748848472416,0.030257992368186503,0.1763504166707874
0.05,0,0,1,Ugap,pooled,0.03157091304755294,0.003347892276284555,0.06139755055176629,0.01816957419755493,0.019516081760395987,0.026353476898903924,7.216707500540547e-05,0.051449312416414,0.0,0.011237280152187418,0.01228051151798166,0.006611495242271216,0.049010380978996945
0.05,0,0,2,Ugap,context_0,0.03308069620585863,0.004886866961028129,0.06316743882126814,0.015650536478148507,0.02014034124068398,0.02585857060704161,9.212179514374129e-06,0.051367392518041524,0.0,0.012005443162906044,0.008920330026370028,0.002822144860403906,0.04674716980141394
0.05,0,0,2,Ugap,context_1,0.04443783070718428,0.017621576003896147,0.06925652590002822,0.07735551384867977,0.03388056235039389,0.08975866201846786,0.0008134548190064789,0.052588450343582054,0.0,0.08430261832829809,0.04955356986605349,0.017961603489152607,0.18138055687755175
0.05,0,0,2,Ugap,pooled,0.031791681219080214,0.0036392361804989844,0.06318220079597343,0.015809714468773012,0.020349012437022307,0.0286461462208384,1.261127273955359e-06,0.05130950733518098,0.0,0.011237280152187418,0.009685631757676665,0.002625128932921046,0.045094060760043256
0.05,0,0,3,Ugap,context_0,0.03057884214825901,0.002661175527347428,0.059760200632198654,0.022695968983015277,0.02473953126867029,0.03276557549184589,5.829772701525818e-05,0.05227343936432854,0.0,0.012005443162906044,0.017084305061520786,0.00613955368521976,0.04820925964800074
