kappa,group,dimension,bin,entities,transitions,adequate
0,0,all,all,28793,662382,True
0,0,history,1-4,28793,115172,True
0,0,history,5-8,28793,115172,True
0,0,history,9-16,28793,228702,True
0,0,history,17-31,25387,203336,True
0,0,run,1,28793,461447,True
0,0,run,2-3,28053,112066,True
0,0,run,4-7,21707,72129,True
0,0,run,8+,5712,16740,True
0,1,all,all,3158,72602,True
0,1,history,1-4,3158,12632,True
0,1,history,5-8,3158,12632,True
0,1,history,9-16,3158,25094,True
0,1,history,17-31,2788,22244,True
0,1,run,1,3158,50958,True
0,1,run,2-3,3066,12146,True
0,1,run,4-7,2364,7803,True
0,1,run,8+,611,1695,True
1,0,all,all,28793,662382,True
1,0,history,1-4,28793,115172,True
1,0,history,5-8,28793,115172,True
1,0,history,9-16,28793,228702,True
1,0,history,17-31,25387,203336,True
1,0,run,1,28793,461748,True
1,0,run,2-3,28080,112244,True
1,0,run,4-7,21658,71801,True
1,0,run,8+,5767,16589,True
1,1,all,all,3158,72602,True
1,1,history,1-4,3158,12632,True
1,1,history,5-8,3158,12632,True
1,1,history,9-16,3158,25094,True
1,1,history,17-31,2788,22244,True
1,1,run,1,3158,50487,True
1,1,run,2-3,3076,12210,True
1,1,run,4-7,2394,7972,True
1,1,run,8+,655,1933,True
